id_produit,nom_produit,marque_produit,prix_produit,en_promotion,date_fin_promo,categorie,sous_categorie,sous_sous_categorie,reference,code_article,gencod,url_produit
111315,"Bloc mutiprise avec interrupteur 4 prises 3G1 1,5m noir",ZENITECH,11.500081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",189656,0519173,3545411896561,https://www.lamaison.fr/0519173.html
102425,Station d'énergie lithium PW 1000 MÉCAFER,MECAFER,479.000041,Non,,Bricolage,Outillage,Machine d'atelier,429100,0520389,3283494291001,https://www.lamaison.fr/0520389.html
102447,Compresseur mural WALLTECH 2 en 1 sans cuve 1.5 HP,Null,149.900041,Non,,Bricolage,Outillage,Machine d'atelier,SXCMD15WE,0520388,8016738798807,https://www.lamaison.fr/0520388.html
110060,Brasure Argent 2% bonne fluidité Ø2 mm 500 mm (x5),Null,14.990041,Non,,Bricolage,Outillage,Machine d'atelier,GE202E,0519631,3189640020252,https://www.lamaison.fr/0519631.html
64399,Compresseur Cubo-2 sans cuve BLACK & DECKER,BLACK & DECKER,110.900041,Non,,Bricolage,Outillage,Machine d'atelier,CUBO/2,0437106,8016738767780,https://www.lamaison.fr/0437106.html
64401,Compresseur coaxial vertical 50 litres,Null,172.899961,Non,,Bricolage,Outillage,Machine d'atelier,840V,0437107,3373270011395,https://www.lamaison.fr/0437107.html
65330,Cric oléopneumatique 20/40T DRAKKAR ÉQUIPEMENT,DRAKKAR EQUIPEMENT,1299.900001,Non,,Bricolage,Outillage,Machine d'atelier,15042,0442052,Null,https://www.lamaison.fr/0442052.html
65387,Palan à chaîne pro 2T 3M DRAKKAR ÉQUIPEMENT,DRAKKAR EQUIPEMENT,139.899961,Non,,Bricolage,Outillage,Machine d'atelier,15327,0438411,3438050153273,https://www.lamaison.fr/0438411.html
73568,Lampe à souder multifonctions à piézo EXPRESS,EXPRESS,19.899961,Non,,Bricolage,Outillage,Machine d'atelier,0000000008200,0446337,3189640082007,https://www.lamaison.fr/0446337.html
64413,Établi-étau Pliable 2 en 1 STANLEY,STANLEY,135.900001,Non,,Bricolage,Outillage,Machine d'atelier,STST83400-1,0435648,3253561834004,https://www.lamaison.fr/0435648.html
75661,Compresseur Coaxial 50 litres PRODIF,PRODIF,149.900041,Non,,Bricolage,Outillage,Machine d'atelier,853J,0234242,3373270009125,https://www.lamaison.fr/0234242.html
75774,Pompe sans fil UniversalPump18V sans batterie - BOSCH,BOSCH,66.949921,Non,,Bricolage,Outillage,Machine d'atelier,0603947100,0484060,6949509233936,https://www.lamaison.fr/0484060.html
75576,"Radio de chantier DMR108N 10,8A 18V li-ion (Produit seul)",MAKITA,179.899921,Oui,28/12/2024,Chalet,Sélection cadeaux,Electroportatif,DMR108N,0442057,0088381750646,https://www.lamaison.fr/0442057.html
77004,Poste à souder Stanley 200 A + Kit complet,STANLEY,259.000081,Non,,Bricolage,Outillage,Machine d'atelier,460200,0492211,3283494602005,https://www.lamaison.fr/0492211.html
77507,Lampe d'inspection BSL18-0 18V (produit seul) AEG,AEG,94.990081,Non,,Bricolage,Outillage,Matériel de chantier,4935479666,0484527,4058546374600,https://www.lamaison.fr/0484527.html
76984,Compresseur coaxial bi-cylindre V 100 litres PRODIF,PRODIF,399.000001,Non,,Bricolage,Outillage,Machine d'atelier,V204710,0492213,3373270006520,https://www.lamaison.fr/0492213.html
77516,Scie circulaire BKS18BL2-0 18V (produit seul) AEG,AEG,259.990081,Non,,Bricolage,Outillage,Machine d'atelier,4935479661,0484529,4058546374556,https://www.lamaison.fr/0484529.html
82019,Chaîne diamentée 36 GBM STIHL,STIHL,459.999961,Non,,Bricolage,Outillage,Machine d'atelier,32130000064,0498290,Null,https://www.lamaison.fr/0498290.html
77521,"Lampe 18V, tête pivotante à 90° 340 lumens (produit seul) ",AEG,59.989921,Non,,Bricolage,Outillage,Matériel de chantier,4935479665,0484525,4058546374594,https://www.lamaison.fr/0484525.html
82402,Décapeur thermique 2000W FARTOOLS,FARTOOLS,39.990001,Non,,Bricolage,Outillage,Machine d'atelier,115354,0501434,3431541153547,https://www.lamaison.fr/0501434.html
85031,Découpeuse à pierre thermique GS461 40cm STIHL,STIHL,2979.000001,Non,,Bricolage,Outillage,Machine d'atelier,4252-200-0034,0437619,886661139293,https://www.lamaison.fr/0437619.html
85033,Découpeuse à disque résine thermique Ø30cm TS410 STIHL,STIHL,1419.000001,Non,,Bricolage,Outillage,Machine d'atelier,42382000028,0355485,795711232290,https://www.lamaison.fr/0355485.html
85034,Découpeuse à disque à diamant thermique Ø30cm TS410 STIHL,STIHL,1548.999961,Non,,Bricolage,Outillage,Machine d'atelier,4238-200-0039,0484212,0886661706150,https://www.lamaison.fr/0484212.html
85041,Découpeuse à disque résine thermique Ø30cm TS480i STIHL,STIHL,1818.999961,Non,,Bricolage,Outillage,Machine d'atelier,TS,0376648,886661006458,https://www.lamaison.fr/0376648.html
85038,Découpeuse à disque résine thermique Ø35cm TS420 STIHL,STIHL,1479.000001,Non,,Bricolage,Outillage,Machine d'atelier,TS,0376646,795711309176,https://www.lamaison.fr/0376646.html
85039,Découpeuse à disque à diamant thermique Ø35cm TS420 STIHL,STIHL,1599.000001,Non,,Bricolage,Outillage,Machine d'atelier,4238-200-0040,0484213,0886661706167,https://www.lamaison.fr/0484213.html
61821,Lampe sans-fil UniversalLamp18 outil seul BOSCH,BOSCH,29.990041,Non,,Bricolage,Outillage,Matériel de chantier,06039A1100,0415325,3165140893121,https://www.lamaison.fr/0415325.html
110061,Brasure Argent 5% très haute fluidité Ø2 mm 500 mm (x5),Null,25.950001,Non,,Bricolage,Outillage,Machine d'atelier,GE205E,0519632,3189640020535,https://www.lamaison.fr/0519632.html
53571,Bloc 5 prises Fiche Plate blanc,ELECTRALINE,12.290041,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",32042,0395667,3390725320420,https://www.lamaison.fr/0395667.html
53820,Enrouleur Proline IP44 25M,ELECTRALINE,89.900041,Non,,Bricolage,Outillage,Matériel de chantier,20868123D,0395692,3390723003004,https://www.lamaison.fr/0395692.html
53556,Bloc 3 prises interrupteur 2M noir vert,ELECTRALINE,19.990081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",35613,0395673,3390725356139,https://www.lamaison.fr/0395673.html
53560,Bloc Multiprises 3 prises,ELECTRALINE,9.990001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",32040,0395665,3390725320406,https://www.lamaison.fr/0395665.html
37695,Soudure étain 99.3% - ø fil 1mm - 80g,EXPRESS,17.990041,Non,,Bricolage,Outillage,Machine d'atelier,11961,0405786,3189640119611,https://www.lamaison.fr/0405786.html
37694,Soudure étain 96.5% - ø fil 2mm - 200g,EXPRESS,52.899961,Non,,Bricolage,Outillage,Machine d'atelier,12940,0405783,3189640129405,https://www.lamaison.fr/0405783.html
37696,Soudure étain 96.5% - ø fil 2 mm - 80g,EXPRESS,23.490001,Non,,Bricolage,Outillage,Machine d'atelier,11941,0405785,3189640119413,https://www.lamaison.fr/0405785.html
48143,Scie à chantourner PEUGEOT OUTILLAGE,PEUGEOT OUTILLAGE,229.899961,Non,,Bricolage,Outillage,Machine d'atelier,132159,0344599,3611351321590,https://www.lamaison.fr/0344599.html
53570,Bloc 3 prises 3M Blanc,ELECTRALINE,16.590001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",30930,0395661,3390723309304,https://www.lamaison.fr/0395661.html
42792,Piètement pour scie à onglets DEWALT,DEWALT,249.000001,Non,,Bricolage,Outillage,Machine d'atelier,DE7033-XJ,0405426,5035048332733,https://www.lamaison.fr/0405426.html
53559,Bloc 6 prises 16A Interrupteur blanc - ELECTRALINE,ELECTRALINE,26.950081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",35433,0395669,3390725354333,https://www.lamaison.fr/0395669.html
48155,Scie de table avec aspirateur PEUGEOT OUTILLAGE,PEUGEOT OUTILLAGE,329.899921,Non,,Bricolage,Outillage,Machine d'atelier,132006,0344598,3611351320067,https://www.lamaison.fr/0344598.html
53554,Bloc 6 prises 3M blanc,ELECTRALINE,19.950001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",30960,0395662,3390723309601,https://www.lamaison.fr/0395662.html
53572,Bloc 6 prises fiche plate blanc,ELECTRALINE,13.590001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",32043,0395668,3390725320437,https://www.lamaison.fr/0395668.html
53805,Enrouler Proline 4P H07 IP44 30M ,ELECTRALINE,109.000081,Non,,Bricolage,Outillage,Matériel de chantier,208671,0395622,3390722086718,https://www.lamaison.fr/0395622.html
53804,Enrouleur de jardin H05 VVF 25M,ELECTRALINE,40.900081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",20866138F,0395688,3390723001857,https://www.lamaison.fr/0395688.html
53573,Bloc 6 prises noir,ELECTRALINE,19.900081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",30961,0395663,3390723309618,https://www.lamaison.fr/0395663.html
53576,Boite de rangement pour câble,ELECTRALINE,49.990081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",300173,0395684,3390723001734,https://www.lamaison.fr/0395684.html
53806,Prolongateur H03 Blc 2M Ss Tet,ELECTRALINE,3.990001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",20647011J,0395617,3390721011414,https://www.lamaison.fr/0395617.html
18479,Réduction 3/8 M- 1/4F 3814 (x2),PRODIF,5.990041,Non,,Bricolage,Outillage,Machine d'atelier,,0152417,3373270000276,https://www.lamaison.fr/0152417.html
18480,Ressort pour marteau burineur PT241 PRODIF,PRODIF,6.900001,Non,,Bricolage,Outillage,Machine d'atelier,,0152407,3373270000542,https://www.lamaison.fr/0152407.html
18478,Raccord 3122 (x2),PRODIF,10.689961,Non,,Aménagement intérieur et décoration,Peinture intérieure et produits de rénovation,Outils du peintre,,0013235,3373270000214,https://www.lamaison.fr/0013235.html
18481,"Robinet de purge 1/4"" mâle PRODIF",PRODIF,4.490041,Non,,Aménagement intérieur et décoration,Peinture intérieure et produits de rénovation,Outils du peintre,1940,0152396,3373270000092,https://www.lamaison.fr/0152396.html
18482,Soufflette métal bec court et bec long 1153 PRODIF,PRODIF,15.590041,Non,,Bricolage,Outillage,Machine d'atelier,1153,0089938,3373270001051,https://www.lamaison.fr/0089938.html
18483,Tuyau air PVC renforcé 10 m Ø 8x13 mm PRODIF,PRODIF,32.990041,Non,,Aménagement intérieur et décoration,Peinture intérieure et produits de rénovation,Outils du peintre,8910V,0095323,3373270005721,https://www.lamaison.fr/0095323.html
19408,"Treuil manivelle 0,5T",COGEX,34.590001,Non,,Bricolage,Outillage,Machine d'atelier,70216,0314202,3300669412143,https://www.lamaison.fr/0314202.html
53807,Rallonge Prolongateur Jardín 25 MT avec Clapet - Section,ELECTRALINE,30.900001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",20857038F,0395690,3390721010530,https://www.lamaison.fr/0395690.html
53809,Prolongateur de jardin H05 VV.F 50M,ELECTRALINE,59.900041,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",20857039F,0395691,3390721010547,https://www.lamaison.fr/0395691.html
38743,Prolongateur enrouleur blanc 5M,Null,15.900001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",10148023J,0395659,3390721011674,https://www.lamaison.fr/0395659.html
44153,"Enrouleur compact 15m 3g1,5",SCHNEIDER,54.900001,Non,,Bricolage,Outillage,Matériel de chantier,SC5IMT33139,0394048,3606481374905,https://www.lamaison.fr/0394048.html
44156,"Enrouleur chantier 25m 3g2,5",SCHNEIDER,119.900041,Non,,Bricolage,Outillage,Matériel de chantier,SC5IMT33150,0394049,3606481375018,https://www.lamaison.fr/0394049.html
53810,Enrouleur de câble électrique 40M,ELECTRALINE,78.900001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",20867018G,0396667,3390723001796,https://www.lamaison.fr/0396667.html
38744,Prolongateur enrouleur blanc 10M,Null,25.990081,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",10148025J,0395660,3390721011698,https://www.lamaison.fr/0395660.html
18477,Raccord à bille Ø 6 mm,PRODIF,13.290001,Non,,Aménagement intérieur et décoration,Peinture intérieure et produits de rénovation,Outils du peintre,,0076273,3373270000184,https://www.lamaison.fr/0076273.html
45457,Enrouleur Bap-Pro,BRENNENSTUHL,99.900001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",1205941,0251365,3281852059416,https://www.lamaison.fr/0251365.html
18375,Cartouche Butane Propane Propène 326gr,EXPRESS,17.949961,Non,,Bricolage,Outillage,Machine d'atelier,2015,0321779,3189640020153,https://www.lamaison.fr/0321779.html
51564,Prolongateur extérieur 10m ,COGEX,27.489961,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",488133,0412664,3219514881334,https://www.lamaison.fr/0412664.html
45052,"Bloc 3 prises + T anthracite 1,5m inter",SCHNEIDER,12.990001,Non,,Bricolage,"Electricité, Domotique et Sécurité","Multiprise, enrouleur, rallonge",SC5ST9331B,0394032,3606489493721,https://www.lamaison.fr/0394032.html
18376,Chalumeau 5200 EXPRESS,EXPRESS,37.899961,Non,,Bricolage,Outillage,Machine d'atelier,5200,0025361,3189640056008,https://www.lamaison.fr/0025361.html
