identifiant,nom_categorie,type_cat,url,id_parent
98,"Rideau, store",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/rideau-store.html,16
99,"Coussin, housse",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/coussin-housse.html,16
100,"Nappe, toile cirée, adhésif",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/nappe-toile-ciree-adhesif.html,16
101,"Tapis de sol, paillasson",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/tapis-de-sol-paillasson.html,16
102,Décoration murale,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/decoration-murale.html,16
17,Revêtement sol et mur,S_CAT,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur.html,3
103,"Parquet, stratifié",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur/parquet-stratifie.html,17
104,Sol PVC,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur/sol-pvc.html,17
105,Papier peint,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur/papier-peint.html,17
106,"Lambris, briquette, parement",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur/lambris-briquette-parement.html,17
18,Peinture intérieure et produits de rénovation,S_CAT,https://www.lamaison.fr/amenagement-interieur-et-decoration/peinture-interieure-et-produits-de-renovation.html,3
107,Peinture intérieure,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/peinture-interieure-et-produits-de-renovation/peinture-interieure.html,18
108,Entretien du bois,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/peinture-interieure-et-produits-de-renovation/entretien-du-bois.html,18
109,Outils du peintre,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/peinture-interieure-et-produits-de-renovation/outils-du-peintre.html,18
4,Jardin et aménagement extérieur,CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur.html,
19,Pépinière,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere.html,4
110,Arbre et arbuste,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/arbre-et-arbuste.html,19
