code_article,gencod,marque_produit,nom_produit,prix_produit,reference,url_produit
0438352,3224780041832,ENO,Plancha gaz Combo initial 50 inox 2 brûleurs,"499,00 €",55508385,https://www.lamaison.fr/0438352.html
0504467,3224780041849,ENO,Plancha gaz Combo initial 65 inox 3 brûleurs,"599,00 €",55658385,https://www.lamaison.fr/0504467.html
0483436,0077924189111|077924189111,WEBER,Pierre de cuisson rectangulaire pour barbecue à gaz,"59,99 €",18414,https://www.lamaison.fr/0483436.html
0504468,3224780041757,ENO,Plancha gaz Fusion 60 gris cargo 2 brûleurs,"489,00 €",580232700701,https://www.lamaison.fr/0504468.html
0483435,0077924189081|077924189081,WEBER,Pierre de cuisson ronde Ø36 cm pour barbecue à charbon,"44,99 €",18412,https://www.lamaison.fr/0483435.html
0437921,0077924179709|077924179709,WEBER,Tapis de protection grand format WEBER,"59,90 €",18280,https://www.lamaison.fr/0437921.html
0437923,0077924180392|077924180392,WEBER,Kit de nettoyage pour barbecue gaz émaillé WEBER,"74,99 €",18284,https://www.lamaison.fr/0437923.html
0437913,0077924180439|077924180439,WEBER,Housse Premium pour Genesis 400 WEBER,"149,99 €",7195,https://www.lamaison.fr/0437913.html
0437916,0077924174346|077924174346,WEBER,Panier à griller Crafted WEBER,"74,90 €",7683,https://www.lamaison.fr/0437916.html
0437918,0077924174407|077924174407,WEBER,Grille de saisie double face Crafted WEBER,"116,95 €",7680,https://www.lamaison.fr/0437918.html
0437892,3292199191479,plancha,Desserte acier avec crédence pour plancha,"189,90 €",919147,https://www.lamaison.fr/0437892.html
0437914,0077924174360|077924174360,WEBER,Plancha Crafted WEBER,"116,95 €",7682,https://www.lamaison.fr/0437914.html
0437915,0077924174384|077924174384,WEBER,Pierre de cuisson vitrifiée Crafted WEBER,"116,95 €",7681,https://www.lamaison.fr/0437915.html
0431121,5413821019765,FORGE ADOUR,Spatule courte coudée POM - FORGE ADOUR,"23,99 €",USTENSILES_SP,https://www.lamaison.fr/0431121.html
0437920,0077924162695|077924162695,WEBER,Gants en silicone WEBER,"27,49 €",7017,https://www.lamaison.fr/0437920.html
0437893,3292199792492,Halong,Desserte bois avec crédence pour plancha Halong,"244,90 €",9792490AF,https://www.lamaison.fr/0437893.html
